core,arm,structure,seed,value
MACE,SO(3),mp-5767,2,0.6600740893365022
MACE,SO(3),mp-1213705,2,0.8127685889409746
MACE,SO(3),mp-1227053,2,0.27591099381335393
MACE,SO(3),mp-1174267,2,0.5471833755681116
MACE,SO(3),mp-766486,2,0.5579546261100843
MACE,SO(3),mp-754349,2,0.7874352778579601
MACE,SO(3),mp-1223924,2,0.36243613487389625
MACE,SO(3),mp-1025162,2,0.22001458186783004
MACE,SO(3),mp-19965,2,0.3400434388323904
MACE,SO(3),mp-15567,2,0.40629907506940166
MACE,SO(3),mp-755225,2,0.688358025198802
MACE,SO(3),mp-7437,2,0.27117558695385185
MACE,SO(3),mp-755925,2,0.6808910751200887
