epoch,core,seed,false_flag
29,equiformer_v2,0,0.8755
30,equiformer_v2,0,0.888
31,equiformer_v2,0,0.8475
32,equiformer_v2,0,0.864
33,equiformer_v2,0,0.855
34,equiformer_v2,0,0.859
35,equiformer_v2,0,0.888
36,equiformer_v2,0,0.8815
37,equiformer_v2,0,0.871
38,equiformer_v2,0,0.8905
39,equiformer_v2,0,0.8875
40,equiformer_v2,0,0.904
41,equiformer_v2,0,0.9065
42,equiformer_v2,0,0.913
43,equiformer_v2,0,0.865
44,equiformer_v2,0,0.8405
45,equiformer_v2,0,0.8275
46,equiformer_v2,0,0.826
47,equiformer_v2,0,0.8575
48,equiformer_v2,0,0.8685
49,equiformer_v2,0,0.857
50,equiformer_v2,0,0.876
51,equiformer_v2,0,0.877
52,equiformer_v2,0,0.884
53,equiformer_v2,0,0.885
54,equiformer_v2,0,0.889
55,equiformer_v2,0,0.8935
56,equiformer_v2,0,0.903
57,equiformer_v2,0,0.8835
58,equiformer_v2,0,0.8535
59,equiformer_v2,0,0.858
60,equiformer_v2,0,0.8785
61,equiformer_v2,0,0.883
62,equiformer_v2,0,0.8895
63,equiformer_v2,0,0.8905
64,equiformer_v2,0,0.9
65,equiformer_v2,0,0.9025
66,equiformer_v2,0,0.902
67,equiformer_v2,0,0.9015
68,equiformer_v2,0,0.899
69,equiformer_v2,0,0.897
70,equiformer_v2,0,0.899
71,equiformer_v2,0,0.9035
72,equiformer_v2,0,0.922
73,equiformer_v2,0,0.9025
74,equiformer_v2,0,0.9005
75,equiformer_v2,0,0.9025
76,equiformer_v2,0,0.9215
77,equiformer_v2,0,0.9105
78,equiformer_v2,0,0.917
79,equiformer_v2,0,0.915
80,equiformer_v2,0,0.913
81,equiformer_v2,0,0.9215
82,equiformer_v2,0,0.9235
83,equiformer_v2,0,0.9235
84,equiformer_v2,0,0.9225
85,equiformer_v2,0,0.904
86,equiformer_v2,0,0.921
87,equiformer_v2,0,0.9245
88,equiformer_v2,0,0.926
89,equiformer_v2,0,0.927
90,equiformer_v2,0,0.931
91,equiformer_v2,0,0.924
92,equiformer_v2,0,0.9245
93,equiformer_v2,0,0.9285
94,equiformer_v2,0,0.92
95,equiformer_v2,0,0.9325
96,equiformer_v2,0,0.933
97,equiformer_v2,0,0.9285
98,equiformer_v2,0,0.935
99,equiformer_v2,0,0.9325
100,equiformer_v2,0,0.943
101,equiformer_v2,0,0.9345
102,equiformer_v2,0,0.9425
103,equiformer_v2,0,0.928
104,equiformer_v2,0,0.9455
105,equiformer_v2,0,0.9405
106,equiformer_v2,0,0.9415
107,equiformer_v2,0,0.945
108,equiformer_v2,0,0.9365
109,equiformer_v2,0,0.946
110,equiformer_v2,0,0.944
111,equiformer_v2,0,0.954
112,equiformer_v2,0,0.951
113,equiformer_v2,0,0.9495
114,equiformer_v2,0,0.9535
115,equiformer_v2,0,0.947
116,equiformer_v2,0,0.946
117,equiformer_v2,0,0.9575
118,equiformer_v2,0,0.9545
119,equiformer_v2,0,0.953
120,equiformer_v2,0,0.9565
121,equiformer_v2,0,0.957
122,equiformer_v2,0,0.9555
123,equiformer_v2,0,0.9565
124,equiformer_v2,0,0.956
125,equiformer_v2,0,0.966
126,equiformer_v2,0,0.95
127,equiformer_v2,0,0.954
128,equiformer_v2,0,0.9585
129,equiformer_v2,0,0.959
130,equiformer_v2,0,0.9605
131,equiformer_v2,0,0.958
132,equiformer_v2,0,0.961
133,equiformer_v2,0,0.962
134,equiformer_v2,0,0.954
135,equiformer_v2,0,0.955
136,equiformer_v2,0,0.96
137,equiformer_v2,0,0.9555
138,equiformer_v2,0,0.9555
139,equiformer_v2,0,0.9545
140,equiformer_v2,0,0.958
141,equiformer_v2,0,0.952
142,equiformer_v2,0,0.965
143,equiformer_v2,0,0.9595
144,equiformer_v2,0,0.959
145,equiformer_v2,0,0.957
146,equiformer_v2,0,0.9595
147,equiformer_v2,0,0.9605
148,equiformer_v2,0,0.96
149,equiformer_v2,0,0.9605
150,equiformer_v2,0,0.9595
1,equiformer_v2,1,0.7785
2,equiformer_v2,1,0.8255
3,equiformer_v2,1,0.86
4,equiformer_v2,1,0.758
5,equiformer_v2,1,0.7755
6,equiformer_v2,1,0.7995
7,equiformer_v2,1,0.719
8,equiformer_v2,1,0.7465
9,equiformer_v2,1,0.8015
10,equiformer_v2,1,0.7265
11,equiformer_v2,1,0.8665
12,equiformer_v2,1,0.7715
13,equiformer_v2,1,0.8545
14,equiformer_v2,1,0.843
15,equiformer_v2,1,0.868
16,equiformer_v2,1,0.85
17,equiformer_v2,1,0.86
18,equiformer_v2,1,0.843
19,equiformer_v2,1,0.8805
20,equiformer_v2,1,0.8925
21,equiformer_v2,1,0.832
22,equiformer_v2,1,0.8985
23,equiformer_v2,1,0.8895
24,equiformer_v2,1,0.8735
25,equiformer_v2,1,0.871
26,equiformer_v2,1,0.883
27,equiformer_v2,1,0.8905
28,equiformer_v2,1,0.776
29,equiformer_v2,1,0.8375
30,equiformer_v2,1,0.877
31,equiformer_v2,1,0.8895
32,equiformer_v2,1,0.917
33,equiformer_v2,1,0.897
34,equiformer_v2,1,0.9055
35,equiformer_v2,1,0.9115
36,equiformer_v2,1,0.915
37,equiformer_v2,1,0.9015
38,equiformer_v2,1,0.913
39,equiformer_v2,1,0.922
40,equiformer_v2,1,0.9265
41,equiformer_v2,1,0.9295
42,equiformer_v2,1,0.931
43,equiformer_v2,1,0.93
44,equiformer_v2,1,0.928
45,equiformer_v2,1,0.9285
46,equiformer_v2,1,0.937
