core,parity,variant,threshold,false_flag_mean,false_flag_std
equiformer_v2,so3,raw,0.000215443,0.996333,0.000764
equiformer_v2,so3,raw,0.000316228,0.995667,0.001041
equiformer_v2,so3,raw,0.000464159,0.995167,0.000764
equiformer_v2,so3,raw,0.000681292,0.994000,0.001732
equiformer_v2,so3,raw,0.001,0.992333,0.002754
equiformer_v2,so3,raw,0.0014678,0.989000,0.004822
equiformer_v2,so3,raw,0.00215443,0.984833,0.004163
equiformer_v2,so3,raw,0.00316228,0.976667,0.004252
equiformer_v2,so3,raw,0.00464159,0.969833,0.004481
equiformer_v2,so3,raw,0.00681292,0.963833,0.004072
equiformer_v2,so3,raw,0.01,0.956333,0.005393
equiformer_v2,so3,raw,0.014678,0.946000,0.007000
equiformer_v2,so3,raw,0.0215443,0.933333,0.010693
equiformer_v2,so3,raw,0.0316228,0.917667,0.012662
equiformer_v2,so3,raw,0.0464159,0.892500,0.023060
equiformer_v2,so3,raw,0.0681292,0.863000,0.030377
equiformer_v2,so3,raw,0.1,0.824000,0.039633
equiformer_v2,so3,raw,0.14678,0.772500,0.042729
equiformer_v2,so3,raw,0.215443,0.710833,0.049245
equiformer_v2,so3,raw,0.316228,0.611167,0.064812
equiformer_v2,so3,raw,0.464159,0.482833,0.064012
equiformer_v2,so3,raw,0.681292,0.353167,0.050163
equiformer_v2,so3,raw,1,0.222500,0.026754
